X,Y,Text,Font,Color,Size,Speed,Borntime,,
1,0.5,「......正在連接,chFont,#9B9B9B,36,6,18000,,
1,0.5,正在發送數據,chFont,#9B9B9B,36,6,25000,,
1,0.5,訊號連結,chFont,#B80A0A,36,6,35000,,
1,0.5,調頻：2400赫茲,chFont,#9B9B9B,36,6,40000,,
1,0.5,準備接收,chFont,#9B9B9B,36,6,47000,,
1,0.56,高分辨率圖像傳輸: 360行/分鐘,chFont,#9B9B9B,28,6,47000,,
1,0.63,自動圖像傳輸：120行/分鐘,chFont,#9B9B9B,28,6,55000,,
1,0.5,確認接收,chFont,#9B9B9B,36,6,65000,,
1,0.67,接收中...,chFont,#9B9B9B,36,6,75000,,
1,0.52,操作系統：美國國家海洋及大氣管理局 NOAA ,chFont,#9B9B9B,40,6,85000,,
1,0.53,任務類型：氣象,chFont,#9B9B9B,28,6,95000,,
1,0.54,最長高空過境時間：16分鐘,chFont,#9B9B9B,36,6,115000,,
1,0.36,軌道速度：101分鐘 （極點到極點）,chFont,#9B9B9B,30,6,125000,,
1,0.5,[--------------------------,chFont,#9B9B9B,36,6,125000,,
1,0.55, --------------------------,chFont,#9B9B9B,36,6,125000,,
1,0.56, --------------------------,chFont,#9B9B9B,36,6,125000,,
1,0.57, --------------------------],chFont,#9B9B9B,36,6,125000,,
1,0.64,接收NOAA系列氣象衛星的訊號,chFont,#9B9B9B,36,6,196000,,
1,0.5,接收、轉譯中,chFont,#9B9B9B,36,6,220000,,
1,0.3,逐行輸出圖像,chFont,#9B9B9B,36,6,225000,,
1,0.5,進度：9.8%,chFont,#9B9B9B,36,6,230000,,
1,0.5,天氣,chFont,#B80A0A,40,6,233000,,
1,0.5,雲朵,chFont,#9B9B9B,40,6,240000,,
1,0.5,颶風,chFont,#9B9B9B,40,6,250000,,
1,0.5,氣壓,chFont,#9B9B9B,40,6,265000,,
1,0.5,燥熱,chFont,#9B9B9B,40,6,280000,,
1,0.5,陣雨,chFont,#9B9B9B,40,6,295000,,
1,0.5,雷電,chFont,#9B9B9B,40,6,310000,,
1,0.5,藍色星球,chFont,#0909E3,40,6,320000,,
1,0.5,藍色,chFont,#0909E3,40,6,330000,,
1,0.5,星球,chFont,#FFF,40,6,350000,,
1,0.5,平面,chFont,#FFF,40,6,360000,,
1,0.5,蓝色平面,chFont,#0909E3,40,6,365000,,
1,0.5,行星,chFont,#FFF,40,6,370000,,
1,0.5,行星平面,chFont,#FFF,40,6,380000,,
1,0.4,定位,chFont,#9B9B9B,40,6,381000,,
1,0.5,参考系,chFont,#FFF,40,3,381500,,
1,0.5,換算,chFont,#9B9B9B,40,6,385000,,
1,0.4,建模,chFont,#9B9B9B,40,6,387000,,
1,0.6,預測,chFont,#FFF,40,6,390000,,
1,0.6,地球的整體第一次被我們看到的時，人類世開始了。,chFont,#0909E3,30,6,497000,,
